period,minutes_remaining,seconds_remaning,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,HTM,opponent
52,4,3,58,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,0,20091111,IND,GSW
53,4,1,25,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,21,-212,-14,1,20091111,IND,GSW
54,4,0,8,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,24,-248,-13,0,20091111,IND,GSW
55,1,0,22,Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,14,-67,123,1,20091114,MIL,GSW
56,2,11,48,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091114,MIL,GSW
57,2,11,0,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,13,129,19,0,20091114,MIL,GSW
58,2,9,43,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091114,MIL,GSW
59,2,9,12,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,22,225,-2,1,20091114,MIL,GSW
60,3,3,19,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091114,MIL,GSW
61,3,2,26,Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,13,-15,137,1,20091114,MIL,GSW
62,3,0,55,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,29,-142,257,1,20091114,MIL,GSW
63,4,7,17,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091114,MIL,GSW
64,1,11,32,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,17,-111,137,1,20091117,CLE,GSW
65,1,8,34,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,154,200,0,20091117,CLE,GSW
66,1,6,10,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,9,1,1,20091117,CLE,GSW
67,2,0,37,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,20091117,CLE,GSW
68,3,6,6,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,24,228,83,0,20091117,CLE,GSW
69,3,2,10,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,20091117,CLE,GSW
70,3,1,19,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,23,239,7,1,20091117,CLE,GSW
71,3,0,0,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,35,-166,312,0,20091117,CLE,GSW
72,4,11,8,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,25,-242,78,1,20091117,CLE,GSW
73,4,9,26,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,-37,247,0,20091117,CLE,GSW
74,1,10,24,Jump Shot,Mid-Range,Center(C),16-24 ft.,19,9,190,0,20091118,BOS,GSW
